step,time_fs,old_total_eV,new_total_eV,old_drift_eV,new_drift_eV,max_position_difference_A,max_velocity_difference_A_per_fs,max_force_difference_eV_per_A,energy_difference_eV,old_capped_steps,new_capped_steps
890,44.49999999999961,-3.657983245495285,-3.657983245495285,0.0002198954047352153,0.0002198954047352153,0.0,0.0,0.0,0.0,0,0
900,44.99999999999958,-3.6580021993862073,-3.6580021993862073,0.0002009415138131132,0.0002009415138131132,0.0,0.0,0.0,0.0,0,0
910,45.49999999999955,-3.6580208287214635,-3.6580208287214635,0.0001823121785569093,0.0001823121785569093,0.0,0.0,0.0,0.0,0,0
920,45.999999999999524,-3.658324961697212,-3.658324961697212,-0.00012182079719158523,-0.00012182079719158523,0.0,0.0,0.0,0.0,0,0
930,46.499999999999496,-3.658106464118574,-3.658106464118574,9.667678144653635e-05,9.667678144653635e-05,0.0,0.0,0.0,0.0,0,0
940,46.99999999999947,-3.6579124661837947,-3.6579124661837947,0.00029067471622568064,0.00029067471622568064,0.0,0.0,0.0,0.0,0,0
950,47.49999999999944,-3.657957240066912,-3.657957240066912,0.0002459008331086032,0.0002459008331086032,0.0,0.0,0.0,0.0,0,0
960,47.99999999999941,-3.6582033426336515,-3.6582033426336515,-2.01733631133294e-07,-2.01733631133294e-07,0.0,0.0,0.0,0.0,0,0
970,48.49999999999938,-3.6583271413339182,-3.6583271413339182,-0.00012400043389781956,-0.00012400043389781956,0.0,0.0,0.0,0.0,0,0
980,48.99999999999935,-3.6580752507117262,-3.6580752507117262,0.00012789018829417742,0.00012789018829417742,0.0,0.0,0.0,0.0,0,0
990,49.499999999999325,-3.658055691164535,-3.658055691164535,0.0001474497354854165,0.0001474497354854165,0.0,0.0,0.0,0.0,0,0
1000,49.9999999999993,-3.6580384763856846,-3.6580384763856846,0.00016466451433583273,0.00016466451433583273,0.0,0.0,0.0,0.0,0,0
