geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,base_bond_energy_eV,base_overcoord_energy_eV,base_angle_energy_eV,component_sum_error_eV,base_force_rms_eV_per_angstrom,base_force_max_eV_per_angstrom
water_grid_0011,water,train,grid,off_path,1.0285714286,1.2857142857,-12.233231401462328,-18.61917107321557,5.59397144520056,0.7919682265526791,-1.7763568394002505e-15,20.474729207676056,33.84789401578268
water_grid_0012,water,train,grid,reactant_like,1.0285714286,1.4142857143,-15.17274752137547,-16.27700562056404,0.6555122924741865,0.44874580671438535,1.7763568394002505e-15,5.051322514197176,8.809779454758386
water_grid_0013,water,train,grid,reactant_like,1.0285714286,1.5428571429,-15.039030186499849,-15.371379723349046,0.0,0.3323495368491969,0.0,2.354786347319908,4.121722291126234
water_grid_0014,water,train,grid,reactant_like,1.0285714286,1.6714285714,-15.039030186499849,-15.371379723349046,0.0,0.3323495368491969,0.0,2.354786347319908,4.121722291126234
water_grid_0015,water,train,grid,reactant_like,1.0285714286,1.8,-15.039030186499849,-15.371379723349046,0.0,0.3323495368491969,0.0,2.354786347319908,4.121722291126234
water_grid_0016,water,train,grid,off_path,1.1571428571,0.9,1.2077438695200757,-20.492888395737726,15.337504288664224,6.363127976593578,4.440892098500626e-16,60.72925338417974,84.76442920240554
water_grid_0017,water,train,grid,transfer_region,1.1571428571,1.0285714286,-8.24270540383538,-20.001774977411444,8.796090119425568,2.9629794541504992,3.552713678800501e-15,23.802831916508936,38.710243117000836
water_grid_0018,water,train,grid,transfer_region,1.1571428571,1.1571428571,-10.746926924146136,-19.374589762875367,7.783748303129783,0.8439145355994473,0.0,1.7349490229265656,2.2740619801277324
water_grid_0019,water,train,grid,transfer_region,1.1571428571,1.2857142857,-11.866444696049607,-18.083680783078044,5.591097289206433,0.626138797822006,1.7763568394002505e-15,19.064537515860906,32.754547008312045
water_grid_0020,water,train,grid,off_path,1.1571428571,1.4142857143,-14.6428166085622,-15.747074707750771,0.6555122924741865,0.44874580671438535,0.0,6.325834716701751,11.182344867533514
water_grid_0021,water,train,grid,off_path,1.1571428571,1.5428571429,-14.50909927368658,-14.841448810535777,0.0,0.3323495368491969,0.0,3.7773786944504835,6.4851831549437335
water_grid_0022,water,train,grid,off_path,1.1571428571,1.6714285714,-14.50909927368658,-14.841448810535777,0.0,0.3323495368491969,0.0,3.7773786944504835,6.4851831549437335
water_grid_0023,water,train,grid,off_path,1.1571428571,1.8,-14.509099273686582,-14.841448810535779,0.0,0.3323495368491969,0.0,3.7773786944504835,6.4851831549437335
water_grid_0024,water,train,grid,off_path,1.2857142857,0.9,-8.891161666618586,-18.959710209805948,7.298557577056178,2.769990966131184,0.0,44.7349579640515,74.24732156797765
water_grid_0025,water,train,grid,off_path,1.2857142857,1.0285714286,-12.233231401462326,-18.619171073215565,5.59397144520056,0.7919682265526788,0.0,20.47472920767606,33.847894015782686
water_grid_0026,water,train,grid,transfer_region,1.2857142857,1.1571428571,-11.866444692780394,-18.083680784327655,5.591097293635668,0.6261387979115918,0.0,19.064537506384408,32.754546993565064
water_grid_0027,water,train,grid,transfer_region,1.2857142857,1.2857142857,-12.446401243867573,-16.798331181854586,3.764351415862222,0.5875785221247903,0.0,11.74737664322412,18.494042682234177
