geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,qm_energy_eV,base_reference_eV,qm_reference_eV,base_relative_eV,qm_relative_eV,residual_target_eV,base_force_max_eV_per_angstrom
formaldehyde_grid_0038,formaldehyde,train,grid,off_path,1.5142857143,1.4642857143,-13.139814873231838,-3127.7136396299015,-15.278360339065305,-3128.712103255751,2.1385454658334666,0.9984636258495811,-1.1400818399838855,14.308603017140939
formaldehyde_grid_0039,formaldehyde,train,grid,off_path,1.5142857143,1.6,-13.139814873231838,-3127.599311867011,-15.278360339065305,-3128.712103255751,2.1385454658334666,1.1127913887403338,-1.0257540770931328,14.308603017140939
formaldehyde_grid_0040,formaldehyde,train,grid,product_like,1.6428571429,0.65,-15.764971630653141,-3128.3428642546805,-15.278360339065305,-3128.712103255751,-0.48661129158783645,0.36923900107058216,0.8558502926584186,5.92663691314389
formaldehyde_grid_0041,formaldehyde,train,grid,product_like,1.6428571429,0.7857142857,-15.91321121086247,-3128.8027970549847,-15.278360339065305,-3128.712103255751,-0.6348508717971644,-0.09069379923357701,0.5441570725635874,1.3916448807581663
formaldehyde_grid_0042,formaldehyde,train,grid,transfer_region,1.6428571429,0.9214285714,-15.53520102452003,-3128.69157915376,-15.278360339065305,-3128.712103255751,-0.2568406854547245,0.020524101991213684,0.2773647874459382,3.7892579080419395
formaldehyde_grid_0043,formaldehyde,train,grid,transfer_region,1.6428571429,1.0571428571,-13.336751277306396,-3128.3580496246414,-15.278360339065305,-3128.712103255751,1.9416090617589088,0.35405363110976396,-1.5875554306491448,23.33413267300428
formaldehyde_grid_0044,formaldehyde,train,grid,transfer_region,1.6428571429,1.1928571429,-11.596762901416342,-3127.9722221932193,-15.278360339065305,-3128.712103255751,3.6815974376489624,0.739881062531822,-2.9417163751171405,8.16882771083373
formaldehyde_grid_0045,formaldehyde,train,grid,off_path,1.6428571429,1.3285714286,-11.596762901416342,-3127.623868226685,-15.278360339065305,-3128.712103255751,3.6815974376489624,1.0882350290662544,-2.593362408582708,8.16882771083373
formaldehyde_grid_0046,formaldehyde,train,grid,off_path,1.6428571429,1.4642857143,-11.596762901416342,-3127.3551929663126,-15.278360339065305,-3128.712103255751,3.6815974376489624,1.3569102894384741,-2.3246871482104883,8.16882771083373
formaldehyde_grid_0047,formaldehyde,train,grid,off_path,1.6428571429,1.6,-11.596762901416342,-3127.1726381030335,-15.278360339065305,-3128.712103255751,3.6815974376489624,1.5394651527176393,-2.142132284931323,8.16882771083373
